sid	ja	en	average	expr	aligned_expr	normalized
bl143	STEAMではじめてげーむかったよ^q^  ポータルバンドルとテラリア^q^	I bought my first game on STEAM ^q^ Portal Bundle and Terraria ^ q ^	4.33	げーむ	game	ゲーム
bl164	[大佐、指示をくれ](#bn-fuki5)   ⊂＝[konozama](#bn-dq1)	“Give me an order, captain”(#bn-fuki5) ⊂＝[konozama](#bn-dq1)	4.33	konozama	konozama	このざま
bl247	おざーさんは野党再編論者やからこの行動もわかるんやけど、絶対酷民党は揉めるやろうな。	I can understand Ozawa's actions as an opposition realignmentist but the The Democratic Party for the People will surely have a dispute	5.0	おざー	Ozawa	小沢
bl361	ただの写実でもなく、花みたいな文様をデザインとしてゴリゴリ入れていくあたり   いかにも女性のワザって感じだ。	This really feels like a feminine technique as it’s not just simple realism but rather aggressively adding floral patterns.	5.0	ワザ	technique	技
bl374	づるい！	That's unfair!	5.0	づるい	unfair	ずるい
bl419	ぼく、あした、おとまり。	I'll stay over tomorrow.	4.67	あした	tomorrow	明日
bl492	サイドンのじしん！	Rhydon's earthquake!	5.0	じしん	earthquake	地震
bl641	靴が汚かったので直そうとしたのかw	So they try to fix the dirty shoe w	4.33	w	w	笑
bl775	人権を盾に労災ガッポリ	Making tons of money from workers compensation using human rights as a shield	4.67	ガッポリ	tons	がっぽり
bl800	全数調査してないことが問題なのに復元すればおっけーなの？	Not checking all the numbers is the problem yet it's okay if you restore it?	4.33	おっけー	okay	オッケー
bl851	日本会議「下級国民に生まれた自己責任だ！Shine!」	Japan conference “it is your own responsibility as someone being born as a lower class citizen! Shine!"	4.67	Shine	Shine	死ね
de294	フグ騒動のスーパータツヤ取締役「長年売っていた」「肝に銘じてフグはもう売らない」  テッポウに当たらなきゃヘーキヘーキ	Super Tatsuya board member on the fugu controversy. "Had been sold for many years." "It has struck home with us, and we won't sell it anymore." As long as it's not beef rectum then it's fine.	4.0	テッポウ	fugu	鉄砲
de295	フッお見通しだぜ	Ha, I can see right through it.	4.67	フッ	Ha	ふっ
de296	フッフーーーウ！！！金曜日！明日は休み！！フッフーーーウ！！！！フーーーウ！！！フーーーウ！！！！  なんか永い	Woo woo!!! Friday!  No work tomorrow!  Woo, wooo!!! (repeat for ever)	4.0	永い	for ever	長い
de316	ムシャクシャするからストゼロ飲んで壺男のゲームやる	I'm irritated so I'm going to drink a Strong Zero and play that game with the guy in the pot.	4.67	ムシャクシャ	irritated	むしゃくしゃ
de321	ヤホーじゃラトビア語翻訳はないからね	It's because Yahoo won't translate Latvian.	5.0	ヤホー	Yahoo	Yahoo
de375	貴音「これはまた綿羊な......」  ？？「ひつじ郎！ひつじ郎じゃないか！もうひつじ郎のゴハン食べたりしないから一緒に帰るさ～」	Takane "is this another sheep...." ?? "Hitsujirou! its you Hitsujirou! I wont eat your food anymore Hitsujirou so lets go home together"	4.33	ゴハン	food	ご飯
de446	高齢者にECでモノを売る時がきた	The time has come to sell goods electronically to old people.	5.0	モノ	goods	物
de490	集まりくる干し柿  ほちい  干し柿だいすき	I want gathered dried persimmon. I love dried persimmon.	4.33	ほちい	want	欲しい
te196	きゅうじつしゅっきん(震え声	I went to work on a day off (shivering voice	4.0	きゅうじつしゅっきん	work on a day off	休日出勤
te232	さけぶのだ	Shout it out loud.	5.0	さけぶ	Shout	叫ぶ
te275	つよい	You’re tough	4.67	つよい	tough	強い
te316	ぷっククク	Hehehe.	4.33	ククク	Hehehe	くくく
te335	ままが使うよね	Mom is gonna use it	5.0	まま	Mom	ママ
te362	よく見たら文字に影入ってるのがオサレみある	I looked closely and noticed that the characters have shadows, it looks fancy	4.33	オサレ	fancy	おしゃれ
te464	モーホー元気とな	Homosexual doing good	4.67	モーホー	Homosexual	ホモ
te478	ワット？ワットクレジー！？	what? What crazy?	5.0	クレジー	crazy	クレイジー
te706	草津においでよ警戒レベル1って町長が宣伝してたけどホントはレベル3だったよ	Come to Kusatsuma! The Mayor said we're threat level 1 but really we're at level 3!	4.33	ホント	really	本当
tr1010	かがくのちからってすげー！	The power of science is great!	5.0	ちから	power	力
tr1024	かわええ～（╹◡╹）	so cute ～（╹◡╹）	5.0	かわええ	cute	かわいい
tr1027	かんぱぁい	Cheers!	5.0	かんぱぁい	Cheers	乾杯
tr1033	きょうは🚕で帰ってきたよ。	Today I came home on a 🚕.	4.0	きょう	Today	今日
tr1034	きよつける。。	Taking care.	4.33	きよつける	Taking care	気を付ける
tr1040	ぎゃくたいだ！	It's abuse!	4.67	ぎゃくたい	abuse	虐待
tr1081	このふいんきがLLLLL	This atmosphere is LLLLL.	4.33	ふいんき	atmosphere	雰囲気
tr1175	こわい...	Scary...	5.0	こわい	Scary	怖い
tr1195	さんたさんにまかせて	Leave it to Santa	5.0	さんた	Santa	サンタ
tr1206	しきぶとん洗濯したの	I washed the futon mattress.	5.0	しきぶとん	futon mattress	敷布団
